version,sha256,datetime,sources
6.0.1.117-16bit,8a1bb18f1acb5018d10ac326ce4082122e020f55c018a1220ef31d4e7f106b22,1997-10-29 10:17:26,7abe5505772bd6c2a6c4de95e535fd286bd94248a3faf9e61b21ebd3e9d705c7
6.0.1.117-32bit-r10,d2ae0bb81bdff692f66bfd5536d40590329f9b68f245bb4680673f8fa4678a74,1997-10-29 12:46:23,443b2fb516e94752030fd09d2e708ab4716c25ab37dde929cd273e3195ccf3dc
6.0.1.117-32bit-r11,122c9229dd9696e28a8af591a205afb82d2535a8b1197307594b587647a1e42e,1997-10-29 12:46:23,bf6e424d5bfd727ce5f2862edcc94881eeaa8433ecfe9f2a91afb0c584ff51e3
6.0.1.119,696e97b14083eaebc2dcc1422468244573b2d9e434da245e6133072cd38b8a62,1998-03-13 21:46:46,director-win-6.5.0
7.0.0.198,752026a4364703883263aebdeba439f5e57acc31c8c7e92b5a972fa6088ae105,1998-12-02 07:33:33,director-win-7.0.0
7.0.2.85,a30b3bcc28b42d1b0491b46a9f29e33d4e99327387892b0141df94b695090155,1999-05-23 23:30:57,director-win-7.0.2 director-win-7.0.2-trial
7.0.3.15,70148a50f54b03ac3374066bb7301341a5c37aca5135a982fed974f24cbe603c,1999-12-06 06:13:33,7f2105852ae607e0668c9b3b30b611bb0b6aecc595c151a9b4609ce0d8c558a3 a31172ae850bb55025d32aa160da58999b85727f1b54a26be882fc26ea77a4bf a8cc1e2c7f905e1680ab6711fc4f742d67e061f3c9679f55cbc3be3eb2b30982
8.0.0.178,12ffc0095af89bbef7e530ba4af44ada877da6cc4dc71fa4b99840f215d04330,2000-02-24 11:48:27,director-win-8.0.0
8.0.0.187,959ab238787e82389b25252e8920c03119692c795cb9c62f92344e79afcbd019,2000-03-08 13:32:47,director-win-8.0.0-trial
8.0.0.196,383164cf0883835b3a284bf8e3e46b7043252808be118ef632244dbcd90ce925,2000-03-17 13:09:13,426e6027ab7279de7c29cde808410534b51feaf1a5205a69b0654077411ad816 c54e174095a6919b938919de0d55da60ce2b84ae94de272d4576b22ea2d3b44c
8.5.0.321-20010413025549,5350e712548b1e0b5182cbe2ed5fa5b1a6d5408dbdd4a518618a1c0f5edae92d,2001-04-13 02:55:49,adc847af8efa39952aa1755c566614014a2fc98a54ef6b523c716f7c8cbef9a0 director-win-8.5.0
8.5.0.321-20010524223904,7e839fd0fe00c17a0ba69ec67b8dbc8dccbfd3c6e4f522899b566881b46f18c7,2001-05-24 22:39:04,3b03502f15ba960b11f00f460ef3e92c7e46e3868955b6bd155e5db94f87f6d5 3c24dd9761f57f637f9bae8986253ae899e87c017611a53e923703b184c71ebc 46d65e0128b8aa756fbe353f0e68a1cc202e52cee074a085e75c1f68f7c036dd 66e3c9eab0e7f0f076caf32d3a6f3b505d4826539f7425f835988579de04f664 8a0e54ad6321525e0c474617e9a0481cd8d2980a8e1ab434919db5c219d40587 dfba9923fa2e1b371a936683c3a5e4ede42c4358f316be88620c7c7a84a37a3b
