version,sha256,datetime,sources
6.0.1.117-16bit,3d2ac3accbcc4af91d5878cf0385605387393660d0e635bfedc261680fb58c28,1997-10-29 10:17:10,7abe5505772bd6c2a6c4de95e535fd286bd94248a3faf9e61b21ebd3e9d705c7
6.0.1.117-32bit,8df5df5da49f90f990755a0fbb9a96941b12911aa3657d3a0a80d0eb1b13ed7c,1997-10-29 12:45:49,443b2fb516e94752030fd09d2e708ab4716c25ab37dde929cd273e3195ccf3dc bf6e424d5bfd727ce5f2862edcc94881eeaa8433ecfe9f2a91afb0c584ff51e3
6.0.1.119,a7e15ddcb7ae3c5e56108fcd5422c8689004b710328a06a7f3a523dd78e0567f,1998-02-05 20:16:16,director-win-6.5.0
7.0.0.198,060b513221ae84f69f249994627f5b7109d0629190d0a3be9a0a616e6ca6159e,1998-12-02 07:27:00,director-win-7.0.0
7.0.2.85,054cdc6a2f49e68e0a6f819e2e0f4b8a2bdf1ee15f068ced727b72ec9af823ab,1999-05-23 23:29:07,director-win-7.0.2 director-win-7.0.2-trial
7.0.2.140,5c52fabaf3a78aed49b3cf2892da37267a64a69188aa70c0ce5cfef9e68a8c0b,1999-07-22 07:21:37,7f2105852ae607e0668c9b3b30b611bb0b6aecc595c151a9b4609ce0d8c558a3 a31172ae850bb55025d32aa160da58999b85727f1b54a26be882fc26ea77a4bf a8cc1e2c7f905e1680ab6711fc4f742d67e061f3c9679f55cbc3be3eb2b30982
8.0.0.178,d621b6f70e0214e5a758a04b6195155240f12df28cef8bd93119ece9aa46b628,2000-02-24 11:44:29,director-win-8.0.0
8.0.0.187,8e6e69b346d4225f0323a32aa77b665ee2c0ed4f0dbc483829b029653961d3fe,2000-03-08 13:28:48,director-win-8.0.0-trial
8.0.0.200,09003240db1bc5b9eaf90e9fb3fe742e32372ed2503e164816c6742031e92a29,2000-05-09 21:20:42,426e6027ab7279de7c29cde808410534b51feaf1a5205a69b0654077411ad816 c54e174095a6919b938919de0d55da60ce2b84ae94de272d4576b22ea2d3b44c
8.5.0.321-20010413025120,dff34b84413df9c1241624f423fd959f678653449cc8d467f5a51bb8fcafcc61,2001-04-13 02:51:20,adc847af8efa39952aa1755c566614014a2fc98a54ef6b523c716f7c8cbef9a0 director-win-8.5.0
8.5.0.321-20010524223018,997de7dc18f84ca2c62a8038049619853c63cc495bc2d3193f0af8dc6f62f247,2001-05-24 22:30:18,46d65e0128b8aa756fbe353f0e68a1cc202e52cee074a085e75c1f68f7c036dd 66e3c9eab0e7f0f076caf32d3a6f3b505d4826539f7425f835988579de04f664
8.5.0.326,64e53ae6d5efb6e2c56aa7fe60170d12ff72c4323927260c94670aade3c33d91,2001-09-21 20:06:37,3b03502f15ba960b11f00f460ef3e92c7e46e3868955b6bd155e5db94f87f6d5 3c24dd9761f57f637f9bae8986253ae899e87c017611a53e923703b184c71ebc 8a0e54ad6321525e0c474617e9a0481cd8d2980a8e1ab434919db5c219d40587 dfba9923fa2e1b371a936683c3a5e4ede42c4358f316be88620c7c7a84a37a3b
8.5.1.102,83cfe99eb220164974224c6e44cc3b52d7479999d2753091d3eff952cae6946d,2002-01-09 09:49:59,1b69caa3bd7912564045b7bcfd3adf8f9228eeb97574572422951446c47c47d6 550ad704bfbf4cc2e349736263f3ea6e3b7b823797eed75f73294e5bbdac981d 801d8d289cdcd2079a09b66037cc8e59147dab2efcf8b3201afda2b5139794cf e3630a9d51e164f55a8203567711d623f03897c9c45c8bc1b65578b0e4d23a70 f123dbd05bed9588d456598020cc81a484c07dbb60eaa2a611f43a2a57ee6be2 f6c4b48373524bf7393515ee5c510e4ebb549f9f9dfff5a0a68f02ed66335250 director-win-8.5.1 director-win-8.5.1-trial
8.5.1.104-20020820235054,0ce4c532cb7c72dec210ade07003d54fbee16097b99f03db9ffcbfe48b4437b1,2002-08-20 23:50:54,6726dc60664555cc7274842a8ef428247b22b9bb374a7cd6611926a849af89b2 6fc902b8df1a9c0eea01038dac78bfbbd3990a360c066695ef4159d3153890e6 a865f3510e9bb8d12838ce07bfe5c1d9d3a9666a5d0d06a0d0d283e71569cab5
